Song Name,Duration,Album,Artists,Artist_id,Album_id,Genre,Release_Date
Mt. Wolf - Life Size Ghosts - Catching Flies Remix,4:24,The Stars,Catching Flies,4zAOqBfNLyWFvj1e3yvypJ,5y49EGdx13n25ZqoOwVpSC,"downtempo, indie dream pop",2012
Sweet Dreamz,2:39,LucidDreamingSkylines,"Psymun, K.Raydio",5gVgcz9X3QcrcrrDXR56NP,1Grs2MXKOrWNMfE1XHVwB2,"experimental hip hop, minnesota hip hop",2013-12-17
Never Ever - Edit,3:57,Never Ever (Edit),"Röyksopp, Susanne Sundfør",5nPOO9iTcrs9k6yFffPxjH,6M6PEDCyaNDmobBD2Hqf7C,"downtempo, electronica, indietronica, neo-synthpop, trip hop",2016-09-09
Reefs,1:93,Corals,Fujitsu,2a42gzUH51UAvwcfy0N6JT,4W3qvCCXk4D0m81IeAABxo,"chillhop, lo-fi beats",2017-07-10
Roses,1:59,For Her,wüsh,4UpdjtYWiLUuaFT18TefcK,4O4tlQX1aDjudqgHFBaRqS,lo-fi beats,2016-11-04
The Warning,4:86,The Warning,Hot Chip,37uLId6Z5ZXCx19vuruvv5,25wuY7cXE8zjFnJRiU1ehS,"alternative dance, dance rock, electronica, indie rock, indietronica, neo-synthpop, new rave",2006-05-22
Dots,3:1,Beats That Collected Dust Vol. 2,DJ Premier,6GEykX11lQqp92UVOQQCC7,6VDSvx3Z6cfz6GXkFBNYLX,"east coast hip hop, instrumental hip hop, jazz boom bap, turntablism",2011-08-07
The Quiet Things That No One Ever Knows,4:03,Deja Entendu,Brand New,168dgYui7ExaU612eooDF1,6vDiMhyfSnTn18OY99BSQX,"emo, pop punk, post-hardcore, screamo",2003-06-17
Crystal Baller,4:26,Out of the Vein,Third Eye Blind,6TcnmlCSxihzWOQJ8k0rNS,5Z1mU7iT0rfX9o9qzM1zYf,"alternative metal, alternative rock, pop rock, post-grunge",2003-05-13
Black Dog - Remaster,4:92,Led Zeppelin IV (Deluxe Edition),Led Zeppelin,36QJpDe2go2KgaRleHCDTp,44Ig8dzqOkvkGDzaUof9lK,"album rock, classic rock, hard rock, rock",1971-11-08
Batu,4:24,Batu,Jason Nolan,0VIT9dtNSoaeDy32J1PnRj,0pAjvXUMcurACdQnDMSqWR,,2017-08-18
The Next Afternoon,2:86,Reality EP,Mr. Carmack,4OHaWpWPKDcZgOOUn9elFn,2cqcTjMmZ7fvy7zEyVgNHk,"electronic trap, vapor twitch",2014-04-15
Can't Do Without You,3:94,Our Love,Caribou,4aEnNH9PuU1HF3TsZTru54,5r4nz5LZHeGUcZCrWbfWkx,"alternative dance, art pop, electronica, folktronica, indietronica, intelligent dance music, trip hop",2014-10-07
Aminals,3:31,Cerulean,Baths,5zS8r5hRRk1jzD41yYS1NO,66Pk1ZQyHpMjF2Fm7qjqQY,"chillwave, indietronica, wonky",2010-07-06
Concept 1,5:13,Still Life,Kodomo,57BliIwnAIqKeI4dbAWwaU,7wwHgF0T6VcyxF4JkVU3eM,"ambient idm, space ambient",2008-07-10
Reach For The Dead,4:79,Tomorrow's Harvest,Boards of Canada,2VAvhf61GgLYmC6C8anyX1,159ORixBSSemxiualv1Woj,"electronica, indietronica, intelligent dance music, scottish electronic, trip hop",2013-06-10
Fahrenheit Fair Enough,6:67,Fahrenheit Fair Enough,Telefon Tel Aviv,53N4oJpWtmnB0KGLLserGC,5OnTABNHitszrtiIE3zGoZ,"abstract, electronica, glitch, intelligent dance music",2001-12-02
Drifting,3:31,Swimming Pool Summer,Capital Cities,4gwpcMTbLWtBUlOijbVpuu,0dMzB2O5MYe7Utn1qaGXY9,"metropopolis, modern rock",2017-07-07
Breathing Underwater,5:74,Choose Your Weapon,Hiatus Kaiyote,43JlwunhXm1oqdKyOa2Z9Y,3qzmmmRmVBiOuMvrerfW4z,"alternative r&b, australian r&b, indie soul, shiver pop",2015-05-01
Bees,5:39,The Milk of Human Kindness,Caribou,4aEnNH9PuU1HF3TsZTru54,6DrIyhtCOAFTEY4dB2mKl9,"alternative dance, art pop, electronica, folktronica, indietronica, intelligent dance music, trip hop",2005-04-18
Paris,3:4,Nabuma Rubberband,Little Dragon,6Tyzp9KzpiZ04DABQoedps,7cRFJj0IQqDZZ3Gm03aGbb,"art pop, chillwave, downtempo, electronica, gothenburg indie, indie soul, indietronica, neo-synthpop, swedish electropop, swedish synthpop, trip hop",2014-01-01
Trainwreck,3:3,and the Anonymous Nobody...,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,280hvW88mUFN9tUQOMCLLZ,"east coast hip hop, golden age hip hop, hip hop, jazz rap",2016-08-26
Sexy Bitch,1:52,and the Anonymous Nobody...,De La Soul,1Z8ODXyhEBi3WynYw0Rya6,280hvW88mUFN9tUQOMCLLZ,"east coast hip hop, golden age hip hop, hip hop, jazz rap",2016-08-26
Greyhounds,5:44,and the Anonymous Nobody...,"De La Soul, USHER",1Z8ODXyhEBi3WynYw0Rya6,280hvW88mUFN9tUQOMCLLZ,"east coast hip hop, golden age hip hop, hip hop, jazz rap",2016-08-26
Snoopies,4:25,and the Anonymous Nobody...,"De La Soul, David Byrne",1Z8ODXyhEBi3WynYw0Rya6,280hvW88mUFN9tUQOMCLLZ,"east coast hip hop, golden age hip hop, hip hop, jazz rap",2016-08-26
It's That Talk Again,4:02,It's That Talk Again,Broken Bells,6dgwEwnK0YtDfS9XhRwBTG,7JI8FoL3XNiXp0lRdFGCta,"chamber pop, indie rock, indietronica, la indie, modern rock",2015-09-25
Slow Country,3:62,Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0YvYmLBFFwYxgI4U9KKgUm,"alternative hip hop, modern rock, rock",2001
Sound of the Sea,5:42,Set in Stone,Stick Figure,5SXEylV07TC57eanSxxg4R,28S63tpbApp3AhWZZYN6l9,"reggae fusion, reggae rock",2015-11-13
Amber,3:52,Greatest Hits '93 - '03,311,41Q0HrwWBtuUkJc7C1Rp6K,0OsjlbBaSZFbZnXGAUysMG,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion",2004-06-08
Dabbington,2:53,Meanwhile...Back at the Lab,Slightly Stoopid,6MxlVTY6PmY8Nyn16fvxtb,0EI8YjnyrsrQPNKIDfCY2n,"reggae fusion, reggae rock",2015-06-29
Submersible,4:45,Submersible,Passafire,3Il8w8T0de4sdogo2EQEVJ,0lhfaCJpCH0G65ikTow8cu,"east coast reggae, reggae rock",2007
Mercy,3:53,Midnight Landing,10 Ft. Ganja Plant,0lsuCH8qG9UM8BihdL1Vsc,5TOY8S7QrWWoyem6gUXNIu,"east coast reggae, reggae, reggae rock",2003-07-08
Fortress,4:17,Summer in Abaddon,Pinback,4ZWvN9FEfdTea1SEHjpTNi,3XLn9BkDkwq4icsUye2Krp,indie rock,2004-10-12
Penelope,4:78,Blue Screen Life,Pinback,4ZWvN9FEfdTea1SEHjpTNi,0RSUOK3VQn1HR4Vb0lMWFD,indie rock,2001
Underworld,3:45,The Night Took Us in Like Family,"L'Orange, Jeremiah Jae",5kJsAiwFWEaNRPwvtkjnXz,38G9JqlztibTL7CtMyHpGp,instrumental hip hop,2015-04-21
Born Too Late,4:69,Warm Blanket,Dent May,34me8hAxavRmcDIwhxa3b7,2pRuWA3pVNYuDVrF0FdsSQ,"indie fuzzpop, mississippi indie",2013-08-27
La Edad del Futuro,5:03,Glue Trip,Glue Trip,6b13SQkJSBYJxUoG8TaDcY,77vBVSbov2E7xVdvsiZqYf,"musica campista, musica paraibana, neo-psicodelia brasileira, rock paraibano",2015-02-18
This Beat,4:84,Mushroom Jazz 6 (Unmixed Online Version),The Jazzual Suspects,7KH5fBS44kdTebdgzspYtJ,0UAzybip8EgY8rU6r15Sdd,,2008-12-09
Down In Flames,4:16,Altitude & Oxygen,Cleopold,2BeARYDF52QQk5S2zgiVHe,5QQfGx4oU9tfAkTe3QKWtU,vapor soul,2016-06-10
Get Along (feat. Anderson .Paak & Blu),4:39,Sunrain,"Elements of Music, Anderson .Paak, Blu",0YKyQPlIlmXOPswGmzMesw,6vw8dbzcZ0a4btA4lGBLCL,,2015-04-25
Espoir,4:04,Romance,Darius,5vfEaoOBcK0Lzr07WN8KaK,4ipvRPuGyE1Y1XvG904i3t,"filter house, indie soul, nu disco",2014-02-24
Now You Know My Name,4:33,The Derevolutions,The Derevolutions,5AztyG5JSIPM9UozcKMlBq,77UXk3f1qOysFaTvBoFh8n,boston indie,2015-01-14
Suede,2:91,Yes Lawd!,NxWorries,6PEMFpe3PTOksdV4ZXUpbE,7v4ntSy3suhIs5Vy96GXVZ,"alternative r&b, indie soul",2016-10-21
Dream,4:66,Dream,Autograf,0FVj4JuzTyudaXAwfqDQ20,024Y1wPNxGBJBkpbNlPUny,"deep tropical house, pop edm, vapor soul, vapor twitch",2015-06-02
Exclamation Point,3:2,The Second Album,"Latyrx, Forrest Day",23hdcMBvWnhwTIWRKLLEvo,5tQohahCNnHAqTCjGCdbpK,"outer hip hop, turntablism",2013-10-29
Tennessee Love,4:9,Love Story,Yelawolf,68DWke2VjdDmA75aJX5C57,4mugszxpE45gV3mObOBlpN,alabama rap,2015-04-21
Staring at the Ceiling (feat. James Petralli),3:59,Echo Hotel,"The Echocentrics, Adrian Quesada, James Petralli",5w06LBuqP0OwZ1USZ2oKkS,2kKUYzb7eOaYvo3d9TrsRj,retro soul,2016-05-20
Strictly Bongo,5:37,The Everlasting Blink,Bent,59xljcfdN2Z9VX2U5RFKEa,1lpp7JuzRfRx66HDQOOsOm,"electronica, trip hop",2003-10-21
La Californie,2:93,La Beat Tape,Souleance,0HGVduSq54fO1fazKRZnaD,78QxpVLxXgG7rvYQUXDOfe,abstract beats,2013-02-04
"Oh, Loretta!",4:49,"Oh, Loretta!",Sex on Toast,7w6CFgYRRBheH4QOpa7xzI,53svbquW0UhEwPQ5TBUTbP,australian r&b,2015-06-08
Water No Get Enemy - Edit,9:86,Best of The Black President,Fela Kuti,5CG9X521RDFWCuAhlo6QoR,7325GfKum2hDK231i3LqA7,"afrobeat, afropop, world",2009-10-27
Laura Corporeal,5:06,Abysma,Geotic,30wki8WYREGLQPm623vzkZ,4EJX0zVSDXQaeQHL21ekHv,experimental ambient,2017-03-31
Cocaine Model,4:25,The Nightday,ZHU,28j8lBWDdDSHSSt5oPlsX2,62e42RyXywke5INCA3VRGJ,"edm, electro house",2015-05-04
Mistadobalina,4:23,I Wish My Brother George Was Here,Del The Funky Homosapien,0YsLR3SQd5QTXAhGIGX7cl,0AK7woKmcPwiCyv3SDiKor,"alternative hip hop, hip hop, oakland hip hop",1991-10-15
The Mulatto (Afrodite),3:14,Neopolitan (Deluxe Edtion),Dorsh,4k5IxJ3I9INvSLgRI1qs5r,7F6i8po6NDoB3T8eBzRoni,neo r&b,2012-07-30
Lazy Soul,4:48,Drum EP 2,Mux Mool,5ExPH13WUhdGVNnMq6RLCr,698pye6Aee6078VatdQo9Q,wonky,2011-06-07
Echoplex (feat. Mai),4:43,Illumination,"Miami Horror, MAI",0Z5pcmXDCKTrFWLnDChC37,1Nb8xRzI4OVThbG3ewobwY,"alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco",2010-08-20
Jungle,5:26,Notion - EP,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,6Q8uLEsBvhdeD96eOOJkN0,australian reggae fusion,2016-12-19
Not In Love - Radio Version,3:78,(II),"Crystal Castles, Robert Smith",7K3zpFXBvPcvzhj7zlGJdO,37TeO5usN4vsGSfpg4dPNA,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore",2011-01-01
Where the Sky Hangs,3:85,Kindred,Passion Pit,7gjAu1qr5C2grXeQFFOGeh,5vHUSuZ5xizxS3zfr3SKkq,"indie rock, indietronica, modern rock, neo-synthpop, shimmer pop",2015-04-17
Time,5:18,55,The Knocks,2x7EATekOPhFGRx3syMGEC,66eHI59X5UEaLrEqrEDKTx,"alternative dance, indie poptimism, nu disco",2016-03-04
I'm So Confused,3:99,Give It Up - EP,Goldensuns,00qD0cbhihCnqMboaFKhUt,4xJOUZJM1gSlggCev2ZbKk,,2016-05-11
She's My Collar (feat. Kali Uchis),3:49,Humanz (Deluxe),"Gorillaz, Kali Uchis",3AA28KZvwAUcZuOKwyblJQ,0NvirtaDCaZU5PAW1O5FDE,"alternative hip hop, modern rock, rock",2017-04-28
Stay Close,2:83,Stay Close - Single,Anth M,1GcXLK5Wtk6WGYJBAcBVfM,1IHm6yQV0BWOvCw9RrABbo,,2016-05-23
Maxxxin,1:6,High Maintenance: Original Music (Season 1),Chris Bear,0do9UA8mgexUfGJiVTSmiv,04lzRvq2MISPHUiMjoxjag,,2016-11-11
Gap in the Clouds,4:67,Harmless Melodies EP,Yellow Days,3dv4Q4q3LWOnbLJnC6GgTY,3ZaWSjcSbBbWx73r4OPJje,bedroom pop,2016-11-18
Brighter,4:68,Bloom,RÜFÜS DU SOL,5Pb27ujIyYb33zBqVysBkj,396Y1EKWxeJt2Yh3Da1for,"australian electropop, indietronica",2016-01-22
I Can’t Cope,3:74,Are You Curious?,The Leers,1LJJixL3abS4vQSSVkZiLi,0dhxHvTvWEAYlBOfUVbJaF,"auckland indie, nz indie",2016-03-04
Wood,5:71,Wood,Rostam,04XggbrM51GcFPTxBYtRXT,5IACWl3TK3qkZjLGFPNyn4,art pop,2017-01-14
Mr Magic (Through The Smoke),3:93,Frank (US e-Version),Amy Winehouse,6Q192DXotxtaysaqNPy5yR,5WkNPVYW7QyUmNqW5yiodh,"british soul, neo soul",2003
Oh My,3:31,Don't Read This. You Will Be Kissed...,"Camino 84, Sidney Gish",3Uh8KOFBq5HzXJS0jvJUW4,5n7O0agW0mlaKM85e6FXlS,boston electronic,2016-11-03
Lotus Blossom,4:33,One Bad Habit,Michael Franks,0AVE7rDx4X9w0pW1XlN1om,5lBgxJGEkFVW8YyAHF8yn7,"smooth jazz, yacht rock",1980
Get Your Shit Together,3:83,Pillowfight (Deluxe),Pillow Fight,0toREGNN6rDZZoxVYQUAs0,0klEhuqBKkaIIjmmmCK6bF,,2013-01-22
White Lies - The Tailors Remix,4:38,White Lies Remixes,Max Frost,7r8xR0LmnaAM623MmRDn1V,69xoXzPHmsIiAqH7XOGZpG,"austindie, indie poptimism",2014-06-03
Boys Life,5:04,Best Blues,Small Black,1J6xqDysFw6YiQ0vMvIKds,6qSL3uKJ4x10OxoFpjgLQ5,"chillwave, indietronica, metropopolis",2015-10-16
Pigs (Three Different Ones),11:43,Animals,Pink Floyd,0k17h0D3J5VfsdmQ1iZtE9,3b4E89rxzZQ9zkhgKpj8N4,"album rock, art rock, classic rock, progressive rock, psychedelic rock, rock, symphonic rock",1977-01-23
Left Hand Suzuki Method,3:21,Gorillaz,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,0YvYmLBFFwYxgI4U9KKgUm,"alternative hip hop, modern rock, rock",2001
Barnacles,5:09,Sharpen Your Teeth (Bonus Track Version),Ugly Casanova,6LAwiATl5lQ3Uwh3llJpJI,2OjkccSNDvlu24qZEVfRCD,washington indie,2002
These Walls,5:02,To Pimp A Butterfly,"Kendrick Lamar, Bilal, Anna Wise, Thundercat",2YZyLoL8N0Wb9xBt1NhZWg,7ycBtnsMtyVbbwTfJwRjSP,"conscious hip hop, hip hop, rap, west coast rap",2015-03-16
Into The Ocean,4:0,Foiled,Blue October,1TJbmc7jTpw78GKCiMpvDh,6t6aBQ1OKqyK9c1nPJEWeX,san marcos tx indie,2006-01-01
Saturdays,3:63,Bright Like Neon Love,Cut Copy,4EENT7N7rCBwrddM3s0vFS,1rSouiIqjxYWVfZdWdNrHi,"alternative dance, australian dance, australian electropop, electronic rock, electronica, indietronica, neo-synthpop",2004-01-01
Feel The Love,4:46,In Ghost Colours,Cut Copy,4EENT7N7rCBwrddM3s0vFS,6k3dwEFYKsGrhS40jtiAGt,"alternative dance, australian dance, australian electropop, electronic rock, electronica, indietronica, neo-synthpop",2008-01-01
Excursions,3:91,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Rap Promoter,2:22,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Butter,3:65,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Verses from the Abstract (feat. Vinia Mojica & Ron Carter),3:98,The Low End Theory,"A Tribe Called Quest, Vinia Mojica, Ron Carter",09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
"Show Business (feat. Diamond D, Lord Jamar & Sadat X)",3:89,The Low End Theory,"A Tribe Called Quest, Diamond D, Lord Jamar, Sadat X",09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Vibes and Stuff,4:3,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Infamous Date Rape,2:89,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Everything Is Fair,2:97,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Jazz (We've Got),4:17,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Skypager,2:2,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
What?,2:48,The Low End Theory,A Tribe Called Quest,09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) - LP Mix",4:17,The Low End Theory,"A Tribe Called Quest, Busta Rhymes, Dinco D, Charlie Brown",09hVIj6vWgoCDtT03h8ZCa,1p12OAWwudgMqfMzjMvl2a,"conscious hip hop, east coast hip hop, golden age hip hop, hip hop, jazz rap, queens hip hop",1991-09-24
Nothing Thought,4:1,Sonnymoon,Sonnymoon,35xB3GprzH0JnRoVrCfiUS,3xgf5BnPWRtudGnyAJe3hN,,2012-05-22
Inspector Norse,6:99,It's Album Time,Todd Terje,49gaZqfow2v8EEQmjGyEIw,4pefQ21iSk8hdnxw3WSB5Y,"balearic, electronica, filter house, indietronica, norwegian space disco, nu disco",2014-04-07
Drive,4:8,Drive,Milo,7oDLqKNhDy6c3ab4eSvAuf,1rhRnfAtpxg6ICKJI8delx,,2015-01-27
Where Is My Other Half,3:58,Where Is My Other Half,Dead Horse Beats,0L2FsTbvoOWxuRcgSPDd7z,1XGRls4d0ViUG03SxINhkw,,2017-04-14
Asphalt Funk,4:65,Seeds,Tea Leaf Green,4n3xlLBs7G1x9tJDXFD4G4,1q1DNTEwDs3XLTvJ2LfSnz,"bay area indie, jam band, progressive bluegrass",2008-04-22
Hostage,4:52,Close Eyes to Exit,Klangstof,25lIYhqIj0R1AnnmqsTrtO,6a8TyTnFnpvaanbZfR7tEL,"dutch indie, dutch indie rock",2016-09-09
A1,5:98,Darkside,DARKSIDE,2933wDUojoQmvqSdTAE5NB,6LoMZqhaHJtZUOczdAkN0p,"downtempo, electronica",2011-11-17
Huggin & Kissin,4:43,Big Black Delta (Deluxe),Big Black Delta,2TXpVEw5FbzDh93tLoDm0i,0Hbr0SAgS82bmq9HDKkt5I,shimmer pop,2013-04-29
CPU,4:2,Vicious Lies and Dangerous Rumors,"Big Boi, Phantogram",2ht3wxeT69CzyKFChNnNAB,4V9YrWvgabusfZVyWkgkhH,"atl hip hop, dirty south rap, hip hop, southern hip hop",2012-01-01
Summer,4:48,Oracolo,Skinshape,1itM5tXaK5THggpXA7ovAe,3bxJayV6Df1njG1jUnIXfs,psychedelic soul,2015-12-01
Go It Alone,4:15,Guero,Beck,3vbKDsSS70ZX9D2OcvbZmS,2EugWXUZjr78KJFqZavvZT,"alternative rock, anti-folk, permanent wave, rock, slacker rock",2005-01-01
Apparition,3:65,…And The Battle Begun,Rx Bandits,47bGK00zHXcGlUWfrE0dvi,0bjJmoZgV7ijmlMwvF0Oij,,2006-08-08
Thrills,2:98,b-sides and rarities,CAKE,6A43Djmhbe9100UwnI7epV,69MkRYEzxiZ84QmgmPJqdY,"alternative rock, pop rock, post-grunge, sacramento indie",2007-11-13
Ruins,5:57,Portico Quartet,Portico Quartet,7sYipTRgDXS2JVOPEhRutx,019texP50KanUPgv0AqNob,"british jazz, compositional ambient, contemporary jazz, electronica, jazz quartet, new tribe",2011
Real Slow (L D R U Remix),4:47,Real Slow (Remixes),Miami Horror,0Z5pcmXDCKTrFWLnDChC37,1f7ctORquPgU8g7R2teLP8,"alternative dance, australian dance, australian electropop, electroclash, filter house, indietronica, neo-synthpop, nu disco",2014-11-28
Rebirth of Cool,4:99,Rebirth of Cool,DJ Cam Quartet,0DkOD427BCfr11yQVvfqU9,4Qs2QGM0QfiQnnQwc032Z1,jazz quartet,2007
Get Loud,5:22,The Universe Inside,STS9,1eZ4td9oadjw7GkW0LzxNK,7HT2MVPkWXXFnwyrzHF453,"jam band, jamtronica, livetronica",2016-09-02
All The Time,3:92,Bahamas is Afie,Bahamas,4C50EbCS11M0VbGyH3OfLt,0AfgBzwRvppO7MwJNlGjvH,"canadian indie, indie folk, stomp and holler",2014-08-15
Run for Your Life,3:93,Big Grams,Big Grams,4jU68Hm8np6WNZXMqi7rz3,1CFREwS5yzCEpC8slWETgT,escape room,2015-09-25
She Can’t Leave Me Here Alone Tonight,2:68,In the Shower,HOMESHAKE,4DMSJzGjw2SMkKAT5EEE5u,0mWXQOrqbigpDUGfnbW7ez,"indie garage rock, montreal indie, quebec indie",2014-10-07
Giving Up On You - Ticklah Remix,3:88,Giving Up On You (Ticklah Remix),"Wild Belle, Victor Axelrod",4wHZkzWXD9GPr4RQAYjUcv,2vmAO5dvEjdbI36MR2vWmo,shimmer pop,2015-11-20
Extreme Northern Lights,8:41,Solar Maximum,Majeure,2AH3OXepgYRFkVsu846PKA,420HYarHoqyfFJEY29rlI3,berlin school,2012-10-16
Out of Pocket,3:38,Man About Town,Mayer Hawthorne,4d53BMrRlQkrQMz5d59f2O,5MBHKaOoI0GPDg9moUCZor,pop soul,2016-02-19
Opal Waltz,3:72,Dazed & Confused,Supernaive,0LIQJHtaj1P8K7CFMxqonq,15egQXR5QFe5oyqH0U4rlE,,2017-06-16
Work This Time,4:61,Oddments,King Gizzard & The Lizard Wizard,6XYvaoDGE0VmRt83Jss9Sn,3DZKitIBszx0EZ7xZ3zJcW,"australian psych, double drumming, microtonal, neo-psychedelic",2014-03-07
Powa,5:06,W H O K I L L,Tune-Yards,0asVlqTLu3TimnYVyY5Jxi,7rBLvpL7ZWi1YCSXSLUZKF,"art pop, experimental pop, indie rock, one-person band, shimmer pop",2011-04-18
Animals Garden,1:91,For The People Like Us,Klaus Layer,0qU9C0toB3cUdPP8NMZl9x,4DyIWylNmWYfZPjLbaTJQh,jazz boom bap,2014-06-17
A Night Thought,3:3,"Moon, Wisdom & Slackness","Pigeondust, Sugarloaf",3ZGFuMnNyyCIAnq5vARz1W,3ICgXKPcqTnA1flXqWbRjs,"abstract beats, chillhop, japanese beats, jazz boom bap",2015-05-12
Overexpressed,3:31,"All Good Records: Freshly Baked, Vol. 01",Birocratic,60b7IDlGflg5lgyfEGf9yB,003VewB37v1OnUJGpLq6Wv,chillhop,2016-10-22
Liquid Silver,4:23,Colors of Jazz 2,Blazo,089rQ02K5KBRF0XRYcQ9LX,4cE8tcL3oC5iAtvKum0gBH,ambeat,2013-11-12
Strange Wolf,2:29,Vermilion,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,31WdFLBw0t2c1B9PPY9Ae9,charlotte nc indie,2013-05-28
Friday Night (feat. Panthurr & Jeff Kaale),2:17,Way of Life,"Brock Berrigan, Panthurr, Jeff Kaale",39sPWwRyNp4NNMyWzN7I0o,0XdS5ftC8BnlLyzKYi6QlV,chillhop,2016-08-23
Passage,3:63,Passage,Birocratic,60b7IDlGflg5lgyfEGf9yB,6KM8bqI45IZkhGD95HXVLU,chillhop,2016-09-13
"Music Sounds Better With You - 12"" Club Mix",3:93,Total Music: Dance Classics Vol. 1,Stardust,2w7IutHv5g4e8LumrwtjWR,5fCk8jQjIZJjC55wgejI88,filter house,2010-01-01
Ghost of the Night Tide,2:33,Vermilion,Dirty Art Club,2DcAdoxP41GECOfZt2MhQL,31WdFLBw0t2c1B9PPY9Ae9,charlotte nc indie,2013-05-28
New Love,3:59,Late Nights / Early Mornings,Handbook,6OvOdUubb1MOOz2FtGWlHk,6KK4ZGVB1Zmyb0I0haTOSG,"abstract beats, chillhop",2016-08-17
The Celebration Song,2:87,Four Walls and an Amplifier,Brock Berrigan,39sPWwRyNp4NNMyWzN7I0o,4muoD957HsInUreETMTfDa,chillhop,2014-01-10
Loveless - Edit,4:3,Loveless,Lo Moon,2XcWfmG3wclCLfTJb7mFeg,0nHgQEUNtbklGQGTGCAPhA,la pop,2016-09-30
Groovin',3:56,Kahunastyle,"Flamingosis, Yung Bae",75cW8FFekyCjj0mfZM1Gfb,7HIQwXtGY23CCkxp5mHb5v,"chillhop, future funk",2016-02-16
Reels: Miss McDonald's & Gillespie's,2:44,Traditional Music of Ireland,Seamus Walshe,1qqOdTvhTHllL3XDBxdfeB,2rpFnbn8gWjzjtjOzqooWC,irish accordion,1981-07-01
Her - Original Mix,7:09,If I Ever Feel Better,Theo Kottis,3qEwwb8O7MSkGRohGYEzkO,6a6wDyX2AXicy9UFF1Sd0d,uk house,2016-08-19
"Fantasy in C Minor, BWV 919",2:21,"Glenn Gould plays Bach: 6 Partitas BWV 825-830; Chromatic Fantasy BWV 903; Italian Concerto BWV 971; The Art of the Fugue BWV 1080 (excerpts); Preludes, Fugues & Fantasies","Johann Sebastian Bach, Glenn Gould",5aIqB5nVVvmFsvSdExz408,61UszrMDhufhN6bGF7Rpb1,"baroque, classical, early music, german baroque",1957
Gettin' It Done,5:11,You'll Understand,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,0PS8yuHp9CAqDguXPKSJAg,"electronica, future garage, lo-fi house",2017-02-10
FEAR.,7:68,DAMN.,Kendrick Lamar,2YZyLoL8N0Wb9xBt1NhZWg,4eLPsYPBmXABThSJ821sqY,"conscious hip hop, hip hop, rap, west coast rap",2017-04-14
.sleep,1:38,What a Day EP,Ajmw,64StAk1W7veJKQ9x0rlE2R,0GluupXw9hO990QEEfwTWh,"chillhop, lo-fi beats",2016-07-26
